,Station_ID,Station_name,Lat,Lng,Summer_Pop_Start,Summer_Pop_End,Winter_Pop_Start,Winter_Pop_End
403,3370,E 78 St & 2 Ave,40.7727966,-73.95577801,0,373,439,432
404,247,Perry St & Bleecker St,40.73535398,-74.00483091,3062,2291,817,832
405,3349,Grand Army Plaza & Plaza St West,40.6729679,-73.97087984,0,448,607,532
406,3616,Steinway St & 28 Ave,40.7656251,-73.9136695,0,11,262,253
407,408,Market St & Cherry St,40.71076228,-73.99400398,2017,1729,620,641
408,539,Metropolitan Ave & Bedford Ave,40.71534825,-73.96024116,0,1543,1607,1652
409,3592,Crescent St & Broadway,40.7633589,-73.92864709999999,0,107,260,243
410,309,Murray St & West St,40.7149787,-74.013012,3741,2781,1145,1131
411,3118,McGuinness Blvd & Eagle St,40.73555,-73.95284000000001,0,176,517,546
412,435,W 21 St & 6 Ave,40.74173969,-73.99415556,11385,8651,5093,5132
413,3113,Greenpoint Ave & Manhattan Ave,40.730259999999994,-73.95394,0,260,746,748
414,3565,36 Ave & 10 St,40.7614376,-73.9411265,0,32,139,143
415,3311,Columbia St & Kane St,40.68763155,-74.0016256,0,530,451,482
416,344,Monroe St & Bedford Ave,40.6851443,-73.95380904,1225,555,483,435
417,3454,Leonard St & Maujer St,40.71036854,-73.94705951,0,231,307,292
418,3243,E 58 St & 1 Ave,40.75892386,-73.96226227,0,1532,881,879
419,228,E 48 St & 3 Ave,40.7546011,-73.97187886,2694,1475,1043,1045
420,3161,W 76 St & Columbus Ave,40.78018397,-73.97728533,0,655,1430,1068
421,3323,W 106 St & Central Park West,40.798185600000004,-73.96059090000001,0,362,623,585
422,416,Cumberland St & Lafayette Ave,40.68753406,-73.97265183,1756,891,732,635
423,3390,E 109 St & 3 Ave,40.79329668,-73.9432083,0,45,233,234
424,454,E 51 St & 1 Ave,40.75455731,-73.96592976,2678,1632,704,705
425,3351,E 102 St & 1 Ave,40.7869946,-73.94164802,0,121,758,767
426,3569,Franklin Ave & St Marks Ave,40.6758324,-73.95616770000001,0,378,347,350
427,3054,Greene Ave & Throop Ave,40.6894932,-73.942061,0,177,299,295
428,3095,Graham Ave & Herbert St,40.71929301,-73.94500379,0,74,246,245
429,276,Duane St & Greenwich St,40.71748752,-74.0104554,2561,1883,838,862
430,3241,Monroe St & Tompkins Ave,40.686203000000006,-73.944694,0,335,286,286
431,3421,Hoyt St & Warren St,40.6843549,-73.98901629,0,158,247,261
432,3545,Broadway & W 122 St,40.8120562,-73.9612547,0,100,224,209
433,3407,Union St & Nevins St,40.679097999999996,-73.98765475,0,403,376,425
434,243,Fulton St & Rockwell Pl,40.688226,-73.979382,1158,1143,577,788
435,3587,Carroll St & Washington Ave,40.6686744,-73.9618148,0,85,87,83
436,3310,14 St & 7 Ave,40.663779,-73.98396846,0,119,395,347
437,3144,E 81 St & Park Ave,40.77677702,-73.95900970000001,0,188,274,243
438,406,Hicks St & Montague St,40.69512845,-73.99595065,2512,1270,991,860
439,3057,Kosciuszko St & Tompkins Ave,40.69128258,-73.9452416,0,239,276,284
440,3459,E 53 St & 3 Ave,40.75763228,-73.96930575,0,1750,1275,1272
441,3312,1 Ave & E 94 St,40.78172120000001,-73.94594000000001,0,307,590,623
442,144,Nassau St & Navy St,40.69839895,-73.98068914,895,479,205,236
443,474,5 Ave & E 29 St,40.7451677,-73.98683077,6014,3767,2417,2407
444,3140,1 Ave & E 78 St,40.77140426,-73.9535166,0,1296,1744,1797
445,3653,31 St & 35 Ave,40.75820465,-73.92832159999999,0,22,128,122
446,3472,W 15 St & 10 Ave,40.74275383,-74.00747359,0,3756,1213,1281
447,3553,Frederick Douglass Blvd & W 112 St,40.801694,-73.957145,0,266,465,526
448,3325,E 95 St & 3 Ave,40.7849032,-73.950503,0,0,327,313
449,3151,E 81 St & York Ave,40.7728384,-73.94989233,0,125,770,763
450,3552,W 113 St & Broadway,40.805973,-73.964928,0,157,518,384
451,3366,West End Ave & W 107 St,40.8021174,-73.96818053,0,252,390,326
452,167,E 39 St & 3 Ave,40.7489006,-73.97604882,4621,2988,1811,1810
453,248,Laight St & Hudson St,40.72185379,-74.00771779,1391,1060,615,619
454,3236,W 42 St & Dyer Ave,40.75898481,-73.99379969,0,2728,2040,2128
455,3303,Butler St & Court St,40.6849894,-73.99440329,0,327,394,408
456,3064,Myrtle Ave & Lewis Ave,40.69681963,-73.93756926,0,526,384,377
457,3383,Cathedral Pkwy & Broadway,40.804213,-73.96699104,0,336,689,611
458,262,Washington Park,40.6917823,-73.97372990000001,1546,921,558,468
459,522,E 51 St & Lexington Ave,40.75714758,-73.97207836,0,1202,1423,1434
460,3501,E 118 St & Madison Ave,40.801486600000004,-73.9442507,0,39,132,129
461,3180,Brooklyn Bridge Park - Pier 2,40.69878,-73.99712,0,891,160,175
462,494,W 26 St & 8 Ave,40.74734825,-73.99723551,7044,5002,2838,2848
463,79,Franklin St & W Broadway,40.71911552,-74.00666661,3189,2395,1106,1155
464,304,Broadway & Battery Pl,40.70463334,-74.01361706,6053,4618,1474,1723
465,3232,Bond St & Fulton St,40.68962189,-73.98304269,0,1411,818,880
466,349,Rivington St & Ridge St,40.71850211,-73.98329859,2151,1612,769,727
467,332,Cherry St,40.71219906,-73.97948148,2158,1766,631,642
468,3376,E 65 St & 2 Ave,40.76471852,-73.9622207,0,390,627,634
469,3307,West End Ave & W 94 St,40.7941654,-73.974124,0,544,498,463
470,534,Water - Whitehall Plaza,40.70255065,-74.0127234,0,1929,889,889
471,241,DeKalb Ave & S Portland Ave,40.68981035,-73.97493121,1663,852,557,476
472,3176,W 64 St & West End Ave,40.77452835,-73.98753759,0,1149,1005,980
473,426,West St & Chambers St,40.71754834,-74.01322069,13539,9765,2700,2761
474,3374,Central Park North & Adam Clayton Powell Blvd,40.799484,-73.955613,0,635,644,725
475,3159,W 67 St & Broadway,40.77492513,-73.98266566,0,1551,1843,1777
