,Station_ID,Station_name,Lat,Lng,Start,End,Distance,Season
178,317,E 6 St & Avenue B,40.72453734,-73.98185424,4048,2926,12.60756489493203,Summer
179,317,E 6 St & Avenue B,40.72453734,-73.98185424,1860,2095,10.70967741935482,Winter
180,448,W 37 St & 10 Ave,40.75660359,-73.9979009,4704,3102,14.440009217896911,Summer
181,448,W 37 St & 10 Ave,40.75660359,-73.9979009,1827,1835,11.542619959861327,Winter
182,2012,E 27 St & 1 Ave,40.739445,-73.97680600000001,0,2414,NaN,Summer
183,2012,E 27 St & 1 Ave,40.739445,-73.97680600000001,1851,1820,11.173374752386108,Winter
184,479,9 Ave & W 45 St,40.76019252,-73.9912551,6648,3651,14.844941282746133,Summer
185,479,9 Ave & W 45 St,40.76019252,-73.9912551,2653,2696,11.047522947315471,Winter
186,446,W 24 St & 7 Ave,40.74487634,-73.99529885,6743,4751,11.57354352126605,Summer
187,446,W 24 St & 7 Ave,40.74487634,-73.99529885,3117,3127,9.143788121990362,Winter
188,3158,W 63 St & Broadway,40.77163851,-73.98261428,0,1429,NaN,Summer
189,3158,W 63 St & Broadway,40.77163851,-73.98261428,2183,1777,10.159474728966236,Winter
190,3394,Columbia St & W 9 St,40.6769993,-74.00647134,0,21,NaN,Summer
191,3394,Columbia St & W 9 St,40.6769993,-74.00647134,47,47,7.007801418439716,Winter
192,347,Greenwich St & W Houston St,40.728846000000004,-74.00859100000001,6041,4475,14.884581193749646,Summer
193,347,Greenwich St & W Houston St,40.728846000000004,-74.00859100000001,1957,1982,12.052853006302167,Winter
194,3389,Carroll St & Columbia St,40.6830456,-74.00348559,0,374,NaN,Summer
195,3389,Carroll St & Columbia St,40.6830456,-74.00348559,368,414,10.797871376811589,Winter
196,350,Clinton St & Grand St,40.71559509,-73.9870295,3284,2488,13.251847903340439,Summer
197,350,Clinton St & Grand St,40.71559509,-73.9870295,1322,1325,10.471902599041139,Winter
198,473,Rivington St & Chrystie St,40.72110063,-73.99192540000001,3216,2335,15.023862104717484,Summer
199,473,Rivington St & Chrystie St,40.72110063,-73.99192540000001,929,901,11.245545977011487,Winter
200,485,W 37 St & 5 Ave,40.75038009,-73.98338988,1242,672,12.555609232420833,Summer
201,485,W 37 St & 5 Ave,40.75038009,-73.98338988,1669,1658,10.561061151079125,Winter
202,3643,E 41 St & 5 Ave,40.75272201,-73.98123622,0,0,NaN,Summer
203,3643,E 41 St & 5 Ave,40.75272201,-73.98123622,1190,1133,9.983501400560224,Winter
204,380,W 4 St & 7 Ave S,40.73401143,-74.00293877,5170,4026,13.27763905019999,Summer
205,380,W 4 St & 7 Ave S,40.73401143,-74.00293877,2325,2419,9.812722317842791,Winter
206,3139,E 72 St & Park Ave,40.77118288,-73.96409422,0,615,NaN,Summer
207,3139,E 72 St & Park Ave,40.77118288,-73.96409422,550,540,12.720916818457805,Winter
208,443,Bedford Ave & S 9 St,40.70853074,-73.96408963,700,210,15.170488630865977,Summer
209,443,Bedford Ave & S 9 St,40.70853074,-73.96408963,237,108,14.438045007032356,Winter
210,407,Henry St & Poplar St,40.700469,-73.991454,1432,872,14.686221756347532,Summer
211,407,Henry St & Poplar St,40.700469,-73.991454,424,287,8.323443656422384,Winter
212,509,9 Ave & W 22 St,40.7454973,-74.00197139,7229,5254,12.413149275763478,Summer
213,509,9 Ave & W 22 St,40.7454973,-74.00197139,2897,2930,9.055615004027162,Winter
214,303,Mercer St & Spring St,40.72362738,-73.99949601,4085,3189,15.639162581699333,Summer
215,303,Mercer St & Spring St,40.72362738,-73.99949601,1356,1388,12.042313377679243,Winter
216,3518,Lenox Ave & W 126 St,40.808442,-73.94520870000001,0,100,NaN,Summer
217,3518,Lenox Ave & W 126 St,40.808442,-73.94520870000001,414,424,12.533696529459244,Winter
218,236,St Marks Pl & 2 Ave,40.7284186,-73.98713956,5701,4531,12.6134480337079,Summer
219,236,St Marks Pl & 2 Ave,40.7284186,-73.98713956,2165,2234,9.8841651263093,Winter
220,3304,6 Ave & 9 St,40.668127,-73.98377641,0,168,NaN,Summer
221,3304,6 Ave & 9 St,40.668127,-73.98377641,559,526,8.299281867145414,Winter
222,3108,Nassau Ave & Russell St,40.725570000000005,-73.94434,0,214,NaN,Summer
223,3108,Nassau Ave & Russell St,40.725570000000005,-73.94434,643,659,10.229341627786418,Winter
224,401,Allen St & Rivington St,40.72019576,-73.98997825,5382,3840,13.727147989840821,Summer
225,401,Allen St & Rivington St,40.72019576,-73.98997825,1948,1933,10.212414442162922,Winter
226,3572,34 Ave & 38 St,40.756913,-73.921631,0,48,NaN,Summer
227,3572,34 Ave & 38 St,40.756913,-73.921631,306,299,9.464324618736386,Winter
228,127,Barrow St & Hudson St,40.73172428,-74.00674436,6933,5169,13.696358826358887,Summer
229,127,Barrow St & Hudson St,40.73172428,-74.00674436,2376,2400,10.937920875420867,Winter
230,389,Broadway & Berry St,40.71044554,-73.96525063,2611,789,14.775472903885465,Summer
231,389,Broadway & Berry St,40.71044554,-73.96525063,828,755,10.689177750906877,Winter
232,3041,Kingston Ave & Herkimer St,40.67890679,-73.94142771,0,197,NaN,Summer
233,3041,Kingston Ave & Herkimer St,40.67890679,-73.94142771,201,205,18.250166666666658,Winter
234,152,Warren St & Church St,40.71473993,-74.00910627,0,0,NaN,Summer
235,152,Warren St & Church St,40.71473993,-74.00910627,840,842,10.859078267779095,Winter
236,3317,10 St & 5 Ave,40.6686273,-73.98700053,0,126,NaN,Summer
237,3317,10 St & 5 Ave,40.6686273,-73.98700053,281,277,11.139226190476188,Winter
238,432,E 7 St & Avenue A,40.72621788,-73.98379855,6234,4750,11.919146204461512,Summer
239,432,E 7 St & Avenue A,40.72621788,-73.98379855,3454,2902,9.40932734993243,Winter
240,402,Broadway & E 22 St,40.740343200000005,-73.98955109,11604,8207,12.949656549979894,Summer
241,402,Broadway & E 22 St,40.740343200000005,-73.98955109,4526,4784,10.293292817679568,Winter
242,274,Lafayette Ave & Fort Greene Pl,40.68691865,-73.976682,2128,1131,13.16873628096584,Summer
243,274,Lafayette Ave & Fort Greene Pl,40.68691865,-73.976682,755,836,10.699182139699397,Winter
244,237,E 11 St & 2 Ave,40.73047309,-73.98672378,5901,4246,12.085028535910016,Summer
245,237,E 11 St & 2 Ave,40.73047309,-73.98672378,2277,2343,9.987192442882233,Winter
246,3318,2 Ave & E 96 St,40.7839636,-73.94716729999999,0,163,NaN,Summer
247,3318,2 Ave & E 96 St,40.7839636,-73.94716729999999,970,999,9.36745867768594,Winter
248,252,MacDougal St & Washington Sq,40.73226398,-73.99852205,3792,2886,13.30233887276886,Summer
